season,PLAYER_ID,Jersey
2014,201582,0
2015,201582,0
2016,201582,0
2017,201582,0
2012,201583,0
2013,201583,0
2014,201583,0
2015,201583,0
2016,201583,0
2017,201583,0
2018,201583,0
2019,201583,0
2012,201584,0
2013,201584,0
2014,201584,0
2015,201584,0
2016,201584,0
2017,201584,0
2018,201584,0
2019,201584,0
2020,201584,0
2012,201585,0
2013,201585,0
2014,201585,0
2015,201585,0
2016,201585,0
2017,201585,0
2018,201585,0
2012,201586,0
2013,201586,0
2014,201586,0
2015,201586,0
2016,201586,0
2017,201586,0
2018,201586,0
2019,201586,0
2020,201586,0
2012,201587,0
2013,201587,0
2014,201587,0
2015,201587,0
2016,201587,0
2017,201587,0
2018,201587,0
2019,201587,0
2020,201587,0
2012,201588,0
2013,201588,0
2014,201588,0
2015,201588,0
2016,201588,0
2017,201588,0
2018,201588,0
2019,201588,0
2020,201588,0
2012,201589,0
2013,201589,0
2014,201589,0
2015,201589,0
2016,201589,0
2017,201589,0
2013,201591,0
2012,201593,0
2013,201593,0
2014,201593,0
2015,201593,0
2014,201595,0
2012,201596,0
2013,201596,0
2014,201596,0
2015,201596,0
2017,201596,0
2012,201599,0
2013,201599,0
2014,201599,0
2015,201599,0
2016,201599,0
2017,201599,0
2018,201599,0
2019,201599,0
2020,201599,0
2012,201600,0
2013,201600,0
2014,201600,0
2015,201600,0
2016,201600,0
2017,201600,0
2012,201601,0
2013,201601,0
2014,201601,0
2015,201601,0
2016,201601,0
2017,201601,0
2018,201601,0
2012,201602,0
2015,201603,0
2012,201604,0
2013,201604,0
2014,201604,0
2015,201604,0
2012,201609,0
2013,201609,0
2014,201609,0
2015,201609,0
2016,201609,0
2017,201609,0
2018,201609,0
2019,201609,0
2020,201609,0
2012,201610,0
2012,201616,0
2015,201619,0
2012,201627,0
2013,201627,0
2014,201627,0
2015,201627,0
2016,201627,0
2017,201627,0
2016,201628,0
2017,201628,0
2012,201632,0
2012,201633,0
2013,201635,0
2015,201645,0
2012,201651,0
2012,201785,0
2013,201785,0
2012,201814,0
2013,201814,0
2012,201821,0
2012,201858,0
2013,201858,0
2014,201858,0
2012,201880,0
2013,201880,0
2014,201880,0
2015,201880,0
2016,201880,0
2012,201933,1
2013,201933,1
2014,201933,1
2015,201933,1
2016,201933,0
2017,201933,0
2018,201933,0
2019,201933,0
2020,201933,0
2012,201934,0
2013,201934,0
2014,201934,0
2012,201935,0
2013,201935,0
2014,201935,1
2015,201935,0
2016,201935,0
2017,201935,1
2018,201935,1
2019,201935,1
2020,201935,0
2012,201936,0
2013,201936,0
2014,201936,0
2015,201936,0
2016,201936,0
2017,201936,0
2018,201936,0
2012,201937,0
2013,201937,0
2014,201937,0
2015,201937,0
2016,201937,0
2017,201937,0
2018,201937,0
2019,201937,0
2020,201937,0
2012,201938,0
2012,201939,0
2013,201939,0
2014,201939,1
2015,201939,1
2016,201939,1
2017,201939,1
2018,201939,1
2019,201939,1
2020,201939,1
2012,201941,0
2013,201941,0
2014,201941,0
2015,201941,0
2016,201941,0
2012,201942,0
2013,201942,0
2014,201942,0
2015,201942,0
2016,201942,0
2017,201942,0
2018,201942,0
2019,201942,0
2020,201942,0
2012,201943,0
2013,201943,0
2014,201943,0
2015,201943,0
2016,201943,0
2012,201944,0
2012,201945,0
2013,201945,0
2014,201945,0
2015,201945,0
2016,201945,0
2012,201946,0
2013,201946,0
2014,201946,0
2015,201946,0
2012,201947,0
2013,201947,0
2014,201947,0
2012,201948,0
2013,201948,0
2014,201948,0
2015,201948,0
2012,201949,0
2013,201949,0
2014,201949,0
2015,201949,0
2016,201949,0
2017,201949,0
2018,201949,0
2019,201949,0
2020,201949,0
2012,201950,0
2013,201950,0
2014,201950,0
2015,201950,0
2016,201950,0
2017,201950,0
2018,201950,0
2019,201950,0
2020,201950,0
2012,201951,0
2013,201951,0
2014,201951,0
2015,201951,0
2016,201951,0
2012,201952,0
2013,201952,0
2014,201952,0
2015,201952,0
2016,201952,0
2017,201952,0
2018,201952,0
2019,201952,0
2020,201952,0
2012,201953,0
2013,201953,0
2012,201954,0
2013,201954,0
2014,201954,0
2015,201954,0
2016,201954,0
2017,201954,0
2018,201954,0
2012,201956,0
2013,201956,0
2014,201956,0
2015,201956,0
2016,201956,0
2017,201956,0
2018,201956,0
2012,201957,0
2013,201957,0
2012,201958,0
2012,201959,0
2013,201959,0
2014,201959,0
2015,201959,0
2016,201959,0
2017,201959,0
2018,201959,0
2019,201959,0
2020,201959,0
2012,201960,0
2013,201960,0
2014,201960,0
2015,201960,0
2016,201960,0
2017,201960,0
2018,201960,0
2019,201960,0
2012,201961,0
2013,201961,0
2014,201961,0
2015,201961,0
2016,201961,0
2017,201961,0
2018,201961,0
2019,201961,0
2020,201961,0
2012,201962,0
2013,201962,0
2015,201962,0
2016,201962,0
2012,201964,0
2013,201964,0
2014,201964,0
2012,201965,0
2013,201965,0
2014,201965,0
2015,201965,0
2012,201966,0
2013,201966,0
2012,201967,0
2013,201967,0
2014,201967,0
2015,201967,0
2016,201967,0
2017,201967,0
2018,201967,0
2012,201969,0
2015,201969,0
2012,201970,0
2012,201971,0
2013,201971,0
2014,201971,0
2015,201971,0
2012,201973,0
2013,201973,0
2014,201973,0
2015,201973,0
2016,201973,0
2017,201973,0
2018,201973,0
2012,201974,0
2012,201975,0
2013,201975,0
2014,201975,0
2015,201975,0
2016,201975,0
2017,201975,0
2012,201976,0
2013,201976,0
2014,201976,0
2015,201976,0
2016,201976,0
2017,201976,0
2018,201976,0
2019,201976,0
2020,201976,0
2012,201977,0
2013,201977,0
2014,201977,0
2015,201977,0
2016,201977,0
2012,201978,0
2013,201978,0
2014,201978,0
2015,201978,0
2016,201978,0
2013,201979,0
2014,201979,0
2012,201980,0
2013,201980,0
2014,201980,0
2015,201980,0
2016,201980,0
2017,201980,0
2018,201980,0
2019,201980,0
2020,201980,0
2012,201985,0
2013,201985,0
2014,201985,0
2012,201986,0
2013,201986,0
2012,201988,0
2013,201988,0
2014,201988,0
2015,201988,0
2016,201988,0
2017,201988,0
2018,201988,0
2019,201988,0
2020,201988,0
2013,201991,0
2012,201993,0
2012,202066,0
2013,202066,0
2014,202066,0
2015,202066,0
2016,202066,0
